ds,Prophet
2024-02-01,0.6708714336781472
2024-03-01,1.5172006058408356
2024-04-01,1.3622723807274935
2024-05-01,1.018312173819306
2024-06-01,1.250033663351271
2024-07-01,2.844313317115703
2024-08-01,1.1581861843520784
2024-09-01,1.8789696888848393
2024-10-01,1.295229921037984
2024-11-01,1.0486681555931772
2024-12-01,1.588489695522951
2025-01-01,1.387109162285236
2025-02-01,0.6564586780642697
2025-03-01,1.4822972085156585
2025-04-01,1.2551846679893237
2025-05-01,0.9525665698072984
2025-06-01,1.1599271666382798
2025-07-01,2.8083730947512877
2025-08-01,1.0872502202168273
2025-09-01,1.8196497877422233
2025-10-01,1.2275918736844873
2025-11-01,0.9664287074373623
2025-12-01,1.4946320463822627
