ds,Prophet
2024-02-01,2.6166185826089405
2024-03-01,1.9528268342057487
2024-04-01,3.52413772482865
2024-05-01,2.03100007767955
2024-06-01,2.2715945431419744
2024-07-01,2.4467766908849113
2024-08-01,2.672515243548157
2024-09-01,2.0950647699918146
2024-10-01,2.6884253073921327
2024-11-01,2.08931419378308
2024-12-01,1.8759061557008962
2025-01-01,2.342484630852049
2025-02-01,2.681248132089377
2025-03-01,2.0471297572176335
2025-04-01,3.6194075386417426
2025-05-01,2.115009134903396
2025-06-01,2.367743605551751
2025-07-01,2.561460634824265
2025-08-01,2.770711602823346
2025-09-01,2.1983374918607446
2025-10-01,2.7762242341100793
2025-11-01,2.1784088626686007
2025-12-01,1.9743483991936066
