ds,NLinear
2024-02-01,1.8494613
2024-03-01,2.0603154
2024-04-01,1.0516462
2024-05-01,1.3166206
2024-06-01,1.1070406
2024-07-01,2.3124018
2024-08-01,1.121897
2024-09-01,1.5661814
2024-10-01,2.7250736
2024-11-01,1.4995675
2024-12-01,1.1147473
2025-01-01,1.6666806
2025-02-01,2.460145
2025-03-01,1.0585763
2025-04-01,1.4898381
2025-05-01,1.3847014
2025-06-01,2.0902958
2025-07-01,2.1654735
2025-08-01,0.69354516
2025-09-01,1.7524723
2025-10-01,2.9510434
2025-11-01,1.8423198
2025-12-01,2.0593462
