ds,TCN
2024-02-01,0.5385903
2024-03-01,0.55979943
2024-04-01,0.719853
2024-05-01,0.7077124
2024-06-01,0.7590227
2024-07-01,0.71964234
2024-08-01,0.7270051
2024-09-01,0.98919266
2024-10-01,0.74267244
2024-11-01,0.9095291
2024-12-01,0.6789114
2025-01-01,0.78223366
2025-02-01,0.7962276
2025-03-01,0.7490968
2025-04-01,0.908653
2025-05-01,0.87356716
2025-06-01,0.7422961
2025-07-01,0.85011756
2025-08-01,0.81003404
2025-09-01,0.8779988
2025-10-01,0.74971336
2025-11-01,0.8785623
2025-12-01,0.7029855
