ds,DLinear
2024-02-01,0.36464673
2024-03-01,0.7959219
2024-04-01,0.20172518
2024-05-01,0.5964902
2024-06-01,0.2660458
2024-07-01,1.9462793
2024-08-01,1.3415202
2024-09-01,1.2718894
2024-10-01,0.9643423
2024-11-01,0.8371966
2024-12-01,1.0266225
2025-01-01,1.6897979
2025-02-01,0.7236565
2025-03-01,1.1834294
2025-04-01,2.1151295
2025-05-01,1.424295
2025-06-01,2.0234654
2025-07-01,2.3891473
2025-08-01,1.1185762
2025-09-01,0.80911076
2025-10-01,0.9470215
2025-11-01,2.2766905
2025-12-01,1.269629
